fecha,id,anio,mes,dia,nombre_mes,dia_semana,anio_mes,semana_anio
,-1,,,,,,,
2004-04-05,1,2004,4,5,abril,lunes,2004-04,15
2004-05-10,2,2004,5,10,mayo,lunes,2004-05,20
2004-06-15,3,2004,6,15,junio,martes,2004-06,25
2004-07-15,4,2004,7,15,julio,jueves,2004-07,29
2004-08-10,5,2004,8,10,agosto,martes,2004-08,33
2004-09-10,6,2004,9,10,septiembre,viernes,2004-09,37
2004-10-10,7,2004,10,10,octubre,domingo,2004-10,41
2005-08-25,8,2005,8,25,agosto,jueves,2005-08,34
2005-09-25,9,2005,9,25,septiembre,domingo,2005-09,38
2005-10-20,10,2005,10,20,octubre,jueves,2005-10,42
2005-11-23,11,2005,11,23,noviembre,miércoles,2005-11,47
2005-11-25,12,2005,11,25,noviembre,viernes,2005-11,47
2005-12-20,13,2005,12,20,diciembre,martes,2005-12,51
2005-12-30,14,2005,12,30,diciembre,viernes,2005-12,52
2006-07-11,15,2006,7,11,julio,martes,2006-07,28
2006-08-05,16,2006,8,5,agosto,sábado,2006-08,31
2006-09-10,17,2006,9,10,septiembre,domingo,2006-09,36
2006-10-10,18,2006,10,10,octubre,martes,2006-10,41
2006-11-05,19,2006,11,5,noviembre,domingo,2006-11,44
2006-11-10,20,2006,11,10,noviembre,viernes,2006-11,45
2006-12-10,21,2006,12,10,diciembre,domingo,2006-12,49
2007-03-29,22,2007,3,29,marzo,jueves,2007-03,13
2007-04-15,23,2007,4,15,abril,domingo,2007-04,15
2007-05-20,24,2007,5,20,mayo,domingo,2007-05,20
2007-06-10,25,2007,6,10,junio,domingo,2007-06,23
2007-07-20,26,2007,7,20,julio,viernes,2007-07,29
2007-08-20,27,2007,8,20,agosto,lunes,2007-08,34
2007-09-20,28,2007,9,20,septiembre,jueves,2007-09,38
2008-07-05,29,2008,7,5,julio,sábado,2008-07,27
2008-08-05,30,2008,8,5,agosto,martes,2008-08,32
2008-09-05,31,2008,9,5,septiembre,viernes,2008-09,36
2008-10-05,32,2008,10,5,octubre,domingo,2008-10,40
2008-11-05,33,2008,11,5,noviembre,miércoles,2008-11,45
2008-12-10,34,2008,12,10,diciembre,miércoles,2008-12,50
2008-12-15,35,2008,12,15,diciembre,lunes,2008-12,51
2009-08-03,36,2009,8,3,agosto,lunes,2009-08,32
2009-09-20,37,2009,9,20,septiembre,domingo,2009-09,38
2009-10-10,38,2009,10,10,octubre,sábado,2009-10,41
2009-11-10,39,2009,11,10,noviembre,martes,2009-11,46
2009-11-25,40,2009,11,25,noviembre,miércoles,2009-11,48
2009-12-10,41,2009,12,10,diciembre,jueves,2009-12,50
2010-05-21,42,2010,5,21,mayo,viernes,2010-05,20
2010-06-05,43,2010,6,5,junio,sábado,2010-06,22
2010-07-20,44,2010,7,20,julio,martes,2010-07,29
2010-08-10,45,2010,8,10,agosto,martes,2010-08,32
2010-09-25,46,2010,9,25,septiembre,sábado,2010-09,38
2010-10-25,47,2010,10,25,octubre,lunes,2010-10,43
2010-11-25,48,2010,11,25,noviembre,jueves,2010-11,47
2011-02-13,49,2011,2,13,febrero,domingo,2011-02,6
2011-03-10,50,2011,3,10,marzo,jueves,2011-03,10
2011-04-05,51,2011,4,5,abril,martes,2011-04,14
2011-05-15,52,2011,5,15,mayo,domingo,2011-05,19
2011-06-05,53,2011,6,5,junio,domingo,2011-06,22
2011-07-05,54,2011,7,5,julio,martes,2011-07,27
2011-08-05,55,2011,8,5,agosto,viernes,2011-08,31
2012-01-20,56,2012,1,20,enero,viernes,2012-01,3
2012-02-10,57,2012,2,10,febrero,viernes,2012-02,6
2012-03-10,58,2012,3,10,marzo,sábado,2012-03,10
2012-04-10,59,2012,4,10,abril,martes,2012-04,15
2012-10-31,60,2012,10,31,octubre,miércoles,2012-10,44
2012-11-25,61,2012,11,25,noviembre,domingo,2012-11,47
2012-12-15,62,2012,12,15,diciembre,sábado,2012-12,50
2013-04-09,63,2013,4,9,abril,martes,2013-04,15
2013-05-20,64,2013,5,20,mayo,lunes,2013-05,21
2013-06-10,65,2013,6,10,junio,lunes,2013-06,24
2013-07-05,66,2013,7,5,julio,viernes,2013-07,27
